17:55:06.040 -> 
17:55:06.040 -> 
17:55:06.040 -> Starting state machine
17:55:06.040 -> 
17:55:06.040 -> 
17:55:06.040 -> Initializing SD card ... done!
17:55:06.771 -> Next available file is 00075.txt
17:55:06.771 -> Creating file 00075.txt ... done!
17:55:06.804 -> Transitioning to state INITIALIZE
17:55:06.804 -> Transitioning to state 12V_REG_ENABLE
17:55:06.804 -> Transitioning to state DELAY [500]
17:55:07.302 -> Transitioning to state ELECTROMETER_ENABLE
17:55:07.302 -> Transitioning to state DELAY [3000]
17:55:20.381 -> 125036, 7, 14356, 316265, 617, 512.585, 435, 0.706
17:55:20.515 -> 125036, 0, 14481, 316287, 617, 512.620, 407, 0.661
17:55:20.614 -> 125020, 1, 14606, 315737, 616, 512.560, 401, 0.652
17:55:20.748 -> 125140, 2, 14732, 316796, 618, 512.615, 441, 0.715
17:55:20.880 -> 125080, 3, 14857, 316296, 617, 512.635, 450, 0.731
17:55:21.013 -> 124968, 4, 14982, 315764, 616, 512.604, 386, 0.628
17:55:21.112 -> 125152, 5, 15107, 316830, 618, 512.670, 500, 0.810
17:55:21.245 -> 125036, 6, 15232, 316778, 618, 512.586, 408, 0.661
17:55:21.378 -> 125060, 7, 15356, 316274, 617, 512.600, 416, 0.675
17:55:21.511 -> 125012, 0, 15481, 316271, 617, 512.595, 417, 0.677
17:55:21.611 -> 125088, 1, 15607, 315747, 616, 512.576, 378, 0.615
17:55:21.743 -> 125108, 2, 15732, 316786, 618, 512.599, 436, 0.707
17:55:21.876 -> 125024, 3, 15857, 316275, 617, 512.601, 390, 0.633
17:55:22.009 -> 125076, 4, 15982, 316779, 618, 512.587, 415, 0.673
17:55:22.108 -> 125024, 5, 16107, 316335, 617, 512.698, 483, 0.784
17:55:22.241 -> 125048, 6, 16232, 316265, 617, 512.585, 439, 0.713
17:55:22.374 -> 125092, 7, 16357, 316243, 617, 512.549, 387, 0.628
17:55:22.506 -> 125116, 0, 16483, 316814, 618, 512.644, 420, 0.681
17:55:22.639 -> 124992, 1, 16608, 316220, 617, 512.512, 397, 0.644
17:55:22.739 -> 125140, 2, 16733, 316808, 618, 512.634, 455, 0.737
17:55:22.871 -> 125060, 3, 16858, 316276, 617, 512.603, 390, 0.633
17:55:23.004 -> 125068, 4, 16983, 316258, 617, 512.574, 382, 0.620
17:55:23.136 -> 125048, 5, 17107, 316822, 618, 512.657, 482, 0.781
17:55:23.236 -> 125004, 6, 17232, 315749, 616, 512.579, 378, 0.615
17:55:23.369 -> 125116, 7, 17357, 316284, 617, 512.616, 400, 0.649
17:55:23.502 -> 125032, 0, 17483, 315776, 616, 512.623, 455, 0.740
17:55:23.635 -> 125072, 1, 17608, 316268, 617, 512.590, 380, 0.617
17:55:23.734 -> 125092, 2, 17733, 316294, 617, 512.632, 398, 0.646
17:55:23.867 -> 125036, 3, 17858, 316303, 617, 512.647, 450, 0.731
17:55:24.000 -> 125036, 4, 17983, 315781, 616, 512.631, 395, 0.642
17:55:24.133 -> 125032, 5, 18108, 316328, 617, 512.687, 487, 0.791
17:55:24.232 -> 125076, 6, 18233, 315781, 616, 512.631, 403, 0.655
17:55:24.365 -> 125124, 7, 18358, 316827, 618, 512.665, 443, 0.718
17:55:24.499 -> 124996, 0, 18484, 316292, 617, 512.629, 476, 0.773
17:55:24.632 -> 125124, 1, 18609, 316277, 617, 512.605, 398, 0.646
17:55:24.731 -> 125028, 2, 18734, 316316, 617, 512.668, 473, 0.768
17:55:24.864 -> 125060, 3, 18859, 316250, 617, 512.561, 359, 0.583
17:55:24.997 -> 125068, 4, 18983, 316300, 617, 512.642, 404, 0.656
17:55:25.130 -> 125072, 5, 19108, 316291, 617, 512.627, 404, 0.656
17:55:25.229 -> 125056, 6, 19233, 316276, 617, 512.603, 388, 0.630
17:55:25.362 -> 125052, 7, 19358, 316288, 617, 512.622, 404, 0.656
17:55:25.494 -> 125052, 0, 19484, 316273, 617, 512.598, 419, 0.680
17:55:25.627 -> 125080, 1, 19609, 316235, 617, 512.536, 385, 0.625
17:55:25.727 -> 125044, 2, 19734, 316286, 617, 512.619, 410, 0.666
17:55:25.859 -> 125076, 3, 19859, 315795, 616, 512.654, 441, 0.717
17:55:25.993 -> 125076, 4, 19984, 316273, 617, 512.598, 407, 0.661
